Section,Title,Primary_Source_URL,Source_Host,Passages_Retained,Words_Retained,Compiled_By,Data_Verification_Source
1,Summary of Rocket-Model Tests at Zero Lift of the Northrop MX-775B Missile Configuration from Mach Numbers of 0.9 to 1.8,https://ntrs.nasa.gov/citations/20090026523,ntrs.nasa.gov,10,1545,Krispin Technologies Archive,https://krispintech.com/#s1
2,Summary of Section Data on Trailing-Edge High-Lift Devices,https://ntrs.nasa.gov/citations/20050080791,ntrs.nasa.gov,10,1496,Krispin Technologies Archive,https://krispintech.com/#s2
3,NACA Conference on Aerodynamic Problems of Transonic Airplane Design,https://ntrs.nasa.gov/citations/19790079919,ntrs.nasa.gov,10,1588,Krispin Technologies Archive,https://krispintech.com/#s3
4,Summary of section data on trailing-edge high-lift devices,https://ntrs.nasa.gov/citations/19930092003,ntrs.nasa.gov,10,1480,Krispin Technologies Archive,https://krispintech.com/#s4
5,NACA Conference on Aerodynamic Problems of Transonic Airplane Design,https://ntrs.nasa.gov/citations/19650074048,ntrs.nasa.gov,10,1449,Krispin Technologies Archive,https://krispintech.com/#s5
6,"Vortex Flow Aerodynamics, volume 1",https://ntrs.nasa.gov/citations/19860017718,ntrs.nasa.gov,10,1533,Krispin Technologies Archive,https://krispintech.com/#s6
7,The NACA variable-density wind tunnel,https://ntrs.nasa.gov/citations/19930091490,ntrs.nasa.gov,10,1584,Krispin Technologies Archive,https://krispintech.com/#s7
8,NACA Report 824 Summary of Airfoil Data,https://ntrs.nasa.gov/citations/19930090976,ntrs.nasa.gov,10,1482,Krispin Technologies Archive,https://krispintech.com/#s8
9,Application of Circulation Control Technology to Airframe Noise Reduction,https://ntrs.nasa.gov/citations/20030065818,ntrs.nasa.gov,10,1389,Krispin Technologies Archive,https://krispintech.com/#s9
10,Experimental Studies of Low-Pressure Turbine Flows and Flow Control,https://ntrs.nasa.gov/citations/20120016011,ntrs.nasa.gov,10,1510,Krispin Technologies Archive,https://krispintech.com/#s10
11,NASA Hybrid Thermally Efficient Core (HyTEC) Phase 2 Q3’GFY25 to Q2’GFY26 Unlimited Rights Annual Report for CLIN 1 and,https://ntrs.nasa.gov/citations/20260007509,ntrs.nasa.gov,10,1270,Krispin Technologies Archive,https://krispintech.com/#s11
12,Some applications of the quasi vortex-lattice method in steady and unsteady aerodynamics,https://ntrs.nasa.gov/citations/19760021096,ntrs.nasa.gov,10,1574,Krispin Technologies Archive,https://krispintech.com/#s12
13,Extended applications of the vortex lattice method,https://ntrs.nasa.gov/citations/19760021078,ntrs.nasa.gov,10,1506,Krispin Technologies Archive,https://krispintech.com/#s13
14,CEAS/AIAA/ICASE/NASA Langley International Forum on Aeroelasticity and Structural Dynamics 1999,https://ntrs.nasa.gov/citations/19990050911,ntrs.nasa.gov,10,1503,Krispin Technologies Archive,https://krispintech.com/#s14
